text,label
"Saya merasa takut ditinggalkan oleh pasangan saya. Saya selalu khawatir kalau dia pergi.",anxious
"Saya butuh ruang sendiri. Saya tidak suka terlalu dekat dengan orang lain.",avoidant
"Saya merasa aman dalam hubungan ini. Saya percaya pasangan saya.",secure
"Saya selalu cemas kalau pasangan tidak responsif. Kenapa dia tidak balas pesan saya?",anxious
"Saya lebih suka mandiri. Saya tidak butuh orang lain untuk bahagia.",avoidant
"Saya merasa nyaman berbagi perasaan dengan pasangan. Kami saling mendukung.",secure
"Kalau pasangan pergi sebentar saja, saya panik. Saya butuh jaminan terus menerus.",anxious
"Saya sulit terbuka secara emosional. Lebih baik saya jaga jarak.",avoidant
"Saya percaya hubungan yang sehat didasarkan pada kepercayaan dan komunikasi.",secure
"Saya takut dikhianati. Kenapa orang selalu pergi dari hidup saya?",anxious
"Saya tidak butuh perhatian berlebihan. Saya bisa mengurus diri sendiri.",avoidant
"Saya merasa aman dan dicintai. Hubungan ini membuat saya bahagia.",secure
"Saya selalu curiga kalau pasangan punya rahasia. Saya butuh transparansi total.",anxious
"Saya lebih suka sendirian daripada terlalu bergantung pada orang lain.",avoidant
"Saya bisa mengandalkan pasangan dalam situasi sulit. Kami saling support.",secure
"Kalau pasangan tidak ada, saya merasa kosong dan takut. Saya butuh kehadiran mereka.",anxious
"Saya tidak suka orang terlalu lengket. Berikan saya space.",avoidant
"Saya merasa hubungan ini stabil dan penuh cinta. Saya bahagia.",secure
"Saya panik kalau pasangan terlambat pulang. Apa yang mereka lakukan?",anxious
"Saya lebih baik fokus pada karier daripada hubungan yang rumit.",avoidant
"Saya percaya pasangan saya sepenuhnya. Hubungan ini aman dan nyaman.",secure
